Season,Name,Team,K%+,BB%+,AVG+,SLG+,NameASCII,PlayerId,MLBAMID
2016,"Cedric Hunter","PHI",81.23619558264751,64.29095662579573,33.87584119389063,41.4880588988914,"Cedric Hunter",2833,501986
2016,"José Ureña","MIA",243.70858772277688,52.60169178474195,67.75168238778126,41.4880588988914,"Jose Urena",11589,570632
2016,"Andrew Cashner","- - -",158.41058162987122,86.79279144482423,67.75168234261346,41.48805887123269,"Andrew Cashner",8782,488768
2017,"Christian Colón","- - -",83.18842499827845,98.82621366598096,61.68596751250178,41.40342959480249,"Christian Colon",11145,518568
2017,"Pete Kozma","- - -",184.16222299230532,69.84111035592562,43.36547300641399,41.35531975346005,"Pete Kozma",2539,518902
2018,"Brandon McCarthy","ATL",284.06774111680636,0,40.76675469143902,41.336006255371856,"Brandon McCarthy",4662,435221
2020,"Christian Colón","CIN",54.09659812004086,44.93989679242107,52.922854447671696,41.288545855242965,"Christian Colon",11145,518568
2017,"Tyler Chatwood","COL",91.17353487482494,23.64784677344518,58.874787717661434,41.05172318628115,"Tyler Chatwood",4338,543022
2017,"Gordon Beckham","SEA",52.17929648839685,65.96104873544635,68.87457475193463,41.05123655247762,"Gordon Beckham",9015,493596
2016,"Colin Moran","HOU",154.9004080529783,49.875950146988274,50.664459305104344,41.030900652597175,"Colin Moran",16909,592567
2019,"Max Scherzer","WSN",202.49541858270294,0,70.50452372080882,40.85130502498559,"Max Scherzer",3137,453286
2019,"Travis Jankowski","SDP",76.24827473463259,94.05673808675704,70.50452372080882,40.85130502498559,"Travis Jankowski",13768,608671
2016,"Jaff Decker","TBR",118.8928570157453,87.50166618077667,59.75808015622213,40.83363680129622,"Jaff Decker",7945,543094
2017,"Cody Asche","CHW",159.0626940961119,57.44994532810844,41.083079382163845,40.81117078178804,"Cody Asche",11997,605125
2018,"Noah Syndergaard","NYM",285.21781314021564,21.428328726199837,50.30791027952478,40.80831235343298,"Noah Syndergaard",11762,592789
2016,"Gio González","WSN",198.2713933933199,0,51.68237293614736,40.690211648543325,"Gio Gonzalez",7448,461829
2018,"Jon Lester","CHC",156.86979711124886,0,46.755091614467766,40.635395902649826,"Jon Lester",4930,452657
2019,"Daniel Palka","CHW",164.59697004338202,101.1794911588583,42.22581496669054,40.57582172808401,"Daniel Palka",14897,594953
2019,"Zach Eflin","PHI",237.54270290249008,0,62.04398115350968,40.442792156728295,"Zach Eflin",13774,621107
2016,"Jaime García","STL",162.4723916527122,45.38185187200136,65.5483756091283,40.13885371042266,"Jaime Garcia",8137,448802
2018,"Charlie Morton","HOU",382.40480941054994,0,66.72172692430075,40.00621303941851,"Charlie Morton",4676,450203
2018,"Alex Cobb","BAL",131.11022009399994,0,66.72172692430075,40.00621303941851,"Alex Cobb",6562,502171
2018,"James Shields","CHW",196.66533037044277,0,66.72172692430075,40.00621303941851,"James Shields",7059,448306
2018,"Dan Butler","BOS",131.11022009399994,0,66.72172692430075,40.00621303941851,"Dan Butler",9968,576788
2018,"Steve Cishek","CHC",154.49298205968194,0,65.67977173193076,39.958139244335115,"Steve Cishek",6483,518553
2018,"Efren Navarro","CHC",308.98596411936387,0,65.67977173193076,39.958139244335115,"Efren Navarro",9854,519068
2018,"Yu Darvish","CHC",231.73947332126238,0,32.83988586596538,39.958139244335115,"Yu Darvish",13074,506433
2018,"Jack Reinheimer","NYM",119.18030049900936,159.1818714925757,65.67977173193076,39.958139244335115,"Jack Reinheimer",14938,595373
